Ref,Val,Package,PosX,PosY,Rot,Side
"3.3V1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",130.000000,-73.540000,180.000000,top
"5V1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",125.350000,-73.540000,180.000000,top
"Button","Push_Button","SW_PUSH_6mm",134.850000,-68.850000,0.000000,top
"C1","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",116.100000,-108.162500,90.000000,top
"C2","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",149.700000,-100.800000,0.000000,top
"C3","0.0068uF / Cer","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",152.500000,-102.100000,180.000000,top
"C4","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",152.500000,-100.800000,0.000000,top
"C5","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",162.700000,-109.100000,90.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.200000,-110.600000,0.000000,top
"C7","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.700000,-109.400000,180.000000,top
"C8","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",111.550000,-82.360000,0.000000,top
"C9","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",111.500000,-84.900000,0.000000,top
"C10","3.3nF / Cer","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",159.999999,-72.200002,-90.000000,top
"C11","10uF / Cer","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",158.999999,-69.300002,180.000000,top
"C12","10uF / Cer","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",151.500000,-83.000000,-90.000000,top
"C13","22uF / Cer","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",157.000000,-95.900000,0.000000,top
"C14","22uF / Cer","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.500000,-72.267500,-90.000000,top
"GND1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",120.700000,-73.540000,180.000000,top
"IC1","TXB0108PWR","SOP65P640X120-20N",141.262000,-113.825000,0.000000,top
"IC2","NC7WZ241K8X","SOP50P310X90-8N",150.575000,-121.050000,0.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",129.200000,-78.500000,90.000000,top
