"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C10";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"3.3nF / Cer";;;
2;"C11,C12";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"10uF / Cer";;;
3;"R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"100k / Film";;;
4;"R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10K";;;
5;"C14,C13";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"22uF / Cer";;;
6;"U4";"RGT16_1P7X1P7";1;"TPS62143RGTT";;;
7;"U5";"DGS10";1;"TPS62056DGSR";;;
8;"IC2";"SOP50P310X90-8N";1;"NC7WZ241K8X";;;
9;"IC1";"SOP65P640X120-20N";1;"TXB0108PWR";;;
10;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
11;"R1,R2,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"10K";;;
12;"C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.1uF";;;
13;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10uF";;;
14;"C9";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10uF";;;
15;"C8,C7,C4,C2";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";4;"0.1uF";;;
16;"C3";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"0.0068uF / Cer";;;
17;"L1";"IND_SRP2512_BRN";1;"2.2uH";;;
18;"L2";"L_Coilcraft_XxL4030";1;"10uH";;;
19;"R11,R10";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"1M / Metal Film";;;
20;"R9";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"100K / Metal Film";;;
21;"R8";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"130K / Metal Film";;;
22;"U3";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
23;"U2";"nRF24L01_Breakout";1;"NRF24";;;
24;"U1";"Teensy40_SMT";1;"Teensy4.0";;;
25;"servo13,servo12,servo11,servo10,servo9,servo8,servo7,servo6,servo5,servo4,servo3,servo2,servo1";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";13;"Conn_01x03_Socket";;;
26;"S5";"PinHeader_1x02_P2.54mm_Vertical";1;"CAN_SERIAL3";;;
27;"S4";"PinHeader_1x02_P2.54mm_Vertical";1;"SERIAL8";;;
28;"S3";"PinHeader_1x02_P2.54mm_Vertical";1;"SERIAL7";;;
29;"J2,J1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
30;"Button";"SW_PUSH_6mm";1;"Push_Button";;;
31;"Main-Terminal1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Main Terminal";;;
32;"GND1,5V1,3.3V1";"PinHeader_1x03_P2.54mm_Vertical";3;"Conn_01x03_Pin";;;
33;"R6,R5";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"10k";;;
