Comment,Designator,Footprint,LCSC,Quantity
TPS62143RGTT,U4,RGT16_1P7X1P7,C140242,1
TXS0104ERGYR,"U3,U7",RGY14_2P05X2P05,C154926,2
10uF,"C12,C16,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1713,4
100k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17407,1
10K,"R14,R2,R7,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,4
2.2K,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17520,1
8.2K,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17828,1
47uF,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C178332,1
Conn_01x03_Socket,"servo1,servo10,servo11,servo12,servo13,servo2,servo3,servo4,servo5,servo6,servo7,servo8,servo9",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,C18077745,13
180,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25270,1
470uF,C13,CP_Elec_10x10,C2905295,1
10uF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C40894,1
1.5K,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,1
MIC5504-1.8YM5,U5,SOT-23-5,C626116,1
ICM-20948,U6,InvenSense_QFN-24_3x3mm_P0.4mm,C726001,1
22uF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C76637,1
10uF,"C1,C17,C23,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C77075,4
0.1uF,"C10,C11,C15,C18,C2,C21,C22,C24,C5,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C86041,10
10uF,"C19,C20",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C87157,2
2.2uH,L1,IND_SRP2512_BRN,C913212,1
Buzzer,BZ1,Buzzer_12x9.5RM7.6,C96078,1
NC7WZ241K8X,IC2,SOP50P310X90-8N,,1
24-27,J1,PinHeader_1x04_P2.54mm_Vertical,,1
Ai-Thinker-Ra-02,U2,Ai-Thinker-Ra-01-LoRa,,1
SERIAL7,S4,PinHeader_1x02_P2.54mm_Vertical,,1
CAN_SERIAL3,S2,PinHeader_1x02_P2.54mm_Vertical,,1
Teensy4.0,U1,Teensy40,,1
28-31,J2,PinHeader_1x04_P2.54mm_Vertical,,1
SERIAL8,S3,PinHeader_1x02_P2.54mm_Vertical,,1
TS4148 RBG,D3,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
MMBT8099LT1G,U8,SOT-23_ONS,,1
