Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_12x9.5RM7.6,151.8,-120.0,0.0,top
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.4,-86.45,180.0,top
C10,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.4375,-113.0,0.0,top
C11,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.6,-86.35,90.0,top
C12,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.8225,-86.3875,90.0,top
C13,470uF,CP_Elec_10x10,152.0,-77.0,90.0,top
C14,47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.6,-85.4,90.0,top
C15,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.25,-113.25,90.0,top
C16,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.025,-99.35,90.0,top
C17,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.4375,-115.25,0.0,top
C18,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.61,-103.1,90.0,top
C19,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.81,-103.1,90.0,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.4,-84.2,180.0,top
C20,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.6375,-113.0,0.0,top
C21,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.6375,-115.25,0.0,top
C22,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.2,-99.3625,-90.0,top
C23,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.2,-95.3625,-90.0,top
C24,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.0,-95.3625,90.0,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.8,-113.25,90.0,top
C4,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.173718,-71.625002,0.0,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.273718,-79.125002,0.0,top
C6,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.573718,-73.225002,-90.0,top
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.01,-107.7,90.0,top
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.9875,-83.7125,180.0,top
C9,47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.75,-112.75,90.0,top
L1,2.2uH,IND_SRP2512_BRN,115.673718,-73.925002,-90.0,top
R1,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.373718,-77.225002,0.0,top
R11,2.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.2,-86.45,180.0,top
R13,8.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.2,-84.2,180.0,top
R14,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.8,-96.525,-90.0,top
R2,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.8,-99.925,180.0,top
R3,1.5K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.2,-88.7,180.0,top
R4,180,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.0,-112.0,0.0,top
R7,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.5,-87.5,180.0,top
R9,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.1125,-114.05,90.0,top
U2,Ai-Thinker-Ra-02,Ai-Thinker-Ra-01-LoRa,122.5,-116.8,90.0,top
U3,TXS0104ERGYR,RGY14_2P05X2P05,138.587499,-119.031,0.0,top
U4,TPS62143RGTT,RGT16_1P7X1P7,120.523781,-75.350001,0.0,top
U5,MIC5504-1.8YM5,SOT-23-5,156.9375,-86.75,180.0,top
U6,ICM-20948,InvenSense_QFN-24_3x3mm_P0.4mm,151.2,-103.425,0.0,top
U7,TXS0104ERGYR,RGY14_2P05X2P05,151.131,-97.374999,90.0,top
servo1,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,174.6,-102.25,0.0,top
servo10,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,165.6,-102.25,0.0,top
servo11,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,174.6,-85.4,0.0,top
servo12,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,165.6,-91.05,0.0,top
servo13,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,174.6,-96.65,0.0,top
servo2,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,165.6,-113.45,0.0,top
servo3,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,165.6,-96.65,0.0,top
servo4,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,165.6,-119.25,0.0,top
servo5,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,165.6,-107.8,0.0,top
servo6,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,165.6,-85.4,0.0,top
servo7,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,174.6,-107.8,0.0,top
servo8,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,174.6,-113.45,0.0,top
servo9,Conn_01x03_Socket,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,174.6,-91.0,0.0,top
